periodo,IED,TRM,IPC,IPI,ISE
2005-01-01,,,,,
2005-02-01,29.38361,-24.89488,0.57,10.3,-0.139227
2005-03-01,-23.03396,17.18456,0.44,3.5,0.836512
2005-04-01,267.3682,-5.791086,0.26,5.7,1.5712
2005-05-01,-266.0204,-11.67085,0.23,-5.1,0.396672
2005-06-01,104.9712,-7.901151,0.23,-0.7,-0.076513
2005-07-01,-179.5146,-8.657559,0.03,1.8,-0.39547
2005-08-01,150.0109,-16.01935,0.0,6.5,2.946424
2005-09-01,-96.42942,-11.29275,0.25,2.3,1.017908
2005-10-01,226.1427,-2.754667,0.14,-4.1,2.026587
2005-11-01,-116.4331,-12.984,0.06,4.5,1.545002
2005-12-01,-22.68288,-1.196645,0.04,-6.7,2.463417
2006-01-01,-29.22054,-4.828387,0.32,-12.2,-9.359484
2006-02-01,63.98128,-17.93954,0.39,10.8,-0.131913
2006-03-01,-61.60472,6.147281,0.42,11.2,2.311679
2006-04-01,114.158,73.21896,0.26,-12.0,-1.536659
2006-05-01,-170.2716,83.51169,0.2,11.5,3.420941
2006-06-01,75.95976,123.5706,0.19,-2.5,-1.109924
2006-07-01,-32.85944,-28.52161,0.25,6.4,0.923665
2006-08-01,122.8882,-124.7148,0.23,6.0,2.962501
2006-09-01,-120.4004,9.725118,0.18,5.7,1.873683
2006-10-01,103.6827,-36.91222,-0.09,-2.2,2.011557
2006-11-01,-97.04412,-71.35845,0.14,3.9,2.153646
2006-12-01,93.79661,-29.73252,0.14,-12.5,0.17531
2007-01-01,34.12674,-24.50323,0.47,-11.5,-9.125189
2007-02-01,-93.97125,-8.632615,0.73,12.5,0.088393
2007-03-01,324.8175,-24.72513,0.76,11.8,2.412982
2007-04-01,-327.6658,-57.94385,0.56,-14.0,-1.940832
2007-05-01,243.3953,-135.4852,0.2,10.6,3.927797
2007-06-01,-95.66055,-85.88115,0.07,-2.6,-0.504624
2007-07-01,-21.08129,28.30922,0.11,5.0,0.17368
2007-08-01,-75.84434,104.2432,-0.09,3.7,3.023616
2007-09-01,58.13362,57.28289,0.06,3.2,1.742851
2007-10-01,-10.45503,-112.2835,0.0,1.6,2.486379
2007-11-01,-41.12639,45.27087,0.31,3.5,2.016141
2007-12-01,63.52402,-32.52248,0.31,-11.9,0.516181
2008-01-01,269.973,-30.65032,0.69,-15.2,-9.655335
2008-02-01,-272.1256,-77.89006,0.99,15.2,0.097964
2008-03-01,-37.14479,-61.80091,0.54,-11.0,-0.826442
2008-04-01,140.0003,-48.39023,0.47,12.1,2.012219
2008-05-01,-63.58876,-19.94687,0.63,-9.3,1.43096
2008-06-01,54.87229,-42.8698,0.59,-5.0,-0.915216
2008-07-01,-19.10206,48.75883,0.33,13.9,1.380375
2008-08-01,-81.29452,66.43226,0.13,-11.3,1.825016
2008-09-01,20.08879,218.7096,-0.13,11.9,1.564768
2008-10-01,21.74597,222.6711,0.24,-4.9,1.940026
2008-11-01,-50.25811,44.80227,0.19,-6.3,-0.456276
2008-12-01,100.863,-82.15001,0.31,-2.7,1.79345
2009-01-01,-20.63679,1.995806,0.41,-14.1,-10.71932
2009-02-01,-120.5616,258.8382,0.59,9.4,0.233632
2009-03-01,48.34083,-42.70945,0.35,5.0,2.188496
2009-04-01,163.9265,-95.02717,0.23,-8.2,-0.709322
2009-05-01,-180.9998,-147.2899,0.01,4.7,3.481936
2009-06-01,145.332,-137.8574,-0.04,-5.3,-1.665882
2009-07-01,-125.0979,-40.22066,-0.03,12.9,1.947628
2009-08-01,64.00113,-31.62161,0.03,-7.0,0.592427
2009-09-01,-42.57635,-39.58506,-0.07,9.6,2.032024
2009-10-01,-119.657,-76.63268,-0.09,-2.2,2.692801
2009-11-01,104.5548,75.47901,-0.05,0.0,1.232975
2009-12-01,-313.8204,41.13325,0.06,-2.7,2.011721
2010-01-01,325.6108,-34.58581,0.49,-17.3,-11.38393
2010-02-01,64.86518,-31.70285,0.59,13.6,-0.308308
2010-03-01,-3.656947,-42.73199,0.18,10.0,3.378712
2010-04-01,62.17906,28.45706,0.33,-7.8,-0.870571
2010-05-01,-129.5948,46.14423,0.08,3.3,3.687371
2010-06-01,107.5214,-56.74723,0.08,-3.0,-1.401552
2010-07-01,-30.26981,-52.43471,-0.03,4.6,-0.026924
2010-08-01,155.2645,-53.21065,0.08,-0.9,2.542529
2010-09-01,-176.5497,-15.42831,-0.1,8.4,1.877138
2010-10-01,11.4481,2.834763,-0.06,-3.1,3.175496
2010-11-01,-24.18435,54.3869,0.14,2.5,1.58367
2010-12-01,38.96341,59.33729,0.47,-3.5,2.459496
2011-01-01,253.0052,-55.25452,0.67,-14.2,-10.80274
2011-02-01,-247.4105,15.29465,0.45,8.8,-1.380968
2011-03-01,92.86699,-0.55659,0.2,15.2,4.19904
2011-04-01,143.4511,-71.98084,0.09,-15.0,-1.519197
2011-05-01,-79.89983,-9.32529,0.21,8.4,4.3994
2011-06-01,186.9954,-17.34938,0.24,-7.7,-1.3334
2011-07-01,-193.8628,-21.56546,0.11,7.9,0.22758
2011-08-01,8.425049,23.96613,-0.03,5.3,4.264622
2011-09-01,39.24282,47.75967,0.23,2.3,0.185744
2011-10-01,-30.33654,74.28937,0.15,-4.3,2.961636
2011-11-01,21.50222,11.86597,0.1,5.6,2.403066
2011-12-01,93.78878,13.87629,0.32,-9.9,1.090764
2012-01-01,49.43738,-80.06903,0.56,-15.2,-11.28339
2012-02-01,-210.5623,-70.52743,0.47,13.0,-0.567529
2012-03-01,145.7603,-16.42321,0.09,8.1,3.628315
2012-04-01,86.16546,7.917387,0.11,-17.5,-2.394307
2012-05-01,16.25391,19.02777,0.24,13.0,5.246355
2012-06-01,30.95408,-0.730108,0.06,-4.0,-1.449491
2012-07-01,-261.4039,-8.726344,-0.02,7.0,-0.89249
2012-08-01,27.72842,21.7029,0.03,-1.6,1.685576
2012-09-01,-88.44216,-2.776892,0.23,3.4,2.016014
2012-10-01,61.95388,1.654634,0.12,-0.4,2.585974
2012-11-01,18.83715,16.6127,-0.1,-2.8,2.926608
2012-12-01,90.0025,-28.51883,0.07,-7.5,0.856813
2013-01-01,-53.28785,-22.82226,0.23,-11.3,-9.869665
2013-02-01,-18.68883,20.87528,0.35,6.5,-2.193924
2013-03-01,-10.76691,23.20085,0.16,-2.8,2.429629
2013-04-01,176.4096,16.48262,0.2,13.2,2.520595
2013-05-01,23.23293,17.68996,0.22,-2.7,3.975189
2013-06-01,-66.16248,61.92804,0.18,-8.4,-2.222939
2013-07-01,-5.08514,-8.306753,0.04,16.0,1.087196
2013-08-01,-137.0713,0.561613,0.07,-7.5,1.723051
2013-09-01,-42.61094,17.40814,0.23,9.2,1.370508
2013-10-01,70.80724,-34.38104,-0.21,-0.6,3.146047
2013-11-01,-47.976,36.62171,-0.17,-3.9,2.980828
2013-12-01,197.6327,11.20313,0.21,-4.7,1.804697
2014-01-01,-82.66391,24.33097,0.39,-13.0,-12.63985
2014-02-01,-156.6542,81.2054,0.5,11.1,-0.274241
2014-03-01,14.17072,-18.77927,0.32,4.4,3.332992
2014-04-01,215.9655,-81.35289,0.37,14.5,-2.038298
2014-05-01,-172.4893,-22.99937,0.39,-14.5,4.891664
2014-06-01,96.93957,-28.32163,0.08,-11.4,-1.989421
2014-07-01,23.97355,-29.39514,0.12,19.2,0.627803
2014-08-01,-220.991,40.48097,0.17,-9.9,2.945829
2014-09-01,151.8631,75.59151,0.11,11.7,1.617461
2014-10-01,-94.77961,74.85075,0.13,-3.3,3.453177
2014-11-01,-74.0071,80.11625,0.11,-5.8,1.62613
2014-12-01,14.00209,213.5699,0.22,0.2,2.510874
2015-01-01,143.0554,55.00452,0.53,-19.1,-13.77999
2015-02-01,-109.1066,23.41444,0.96,14.4,-0.915575
2015-03-01,-22.43223,164.6898,0.49,6.0,3.958605
2015-04-01,-10.65769,-80.11426,0.45,10.3,-1.739328
2015-05-01,110.7766,-67.71284,0.22,-14.5,5.165516
2015-06-01,-109.8206,124.9425,0.09,-2.3,-1.580704
2015-07-01,-81.57016,169.5581,0.16,14.5,1.144725
2015-08-01,-42.39854,280.5516,0.41,-6.9,2.564598
2015-09-01,42.64581,53.82058,0.61,11.5,0.542223
2015-10-01,-36.11096,-136.9357,0.59,-4.3,2.691798
2015-11-01,-8.798538,71.90408,0.53,0.9,1.362788
2015-12-01,106.4078,242.8253,0.54,-3.7,2.22422
2016-01-01,-172.4323,25.99355,1.14,-15.6,-13.89473
2016-02-01,170.3798,84.76174,1.14,13.4,1.592906
2016-03-01,-131.8947,-226.1679,0.85,-2.3,1.047611
2016-04-01,36.44181,-131.062,0.45,24.1,-0.171255
2016-05-01,185.5261,-4.218613,0.47,-21.5,4.275927
2016-06-01,-248.3191,-0.64972,0.44,-0.4,-1.216799
2016-07-01,28.80091,-31.85899,0.48,-5.0,-2.797612
2016-08-01,52.5129,-8.232903,-0.29,18.7,7.671433
2016-09-01,-81.38835,-28.50144,-0.05,3.3,-0.362296
2016-10-01,-4.854815,5.123376,-0.06,-11.0,2.01776
2016-11-01,49.32866,180.87,0.11,3.4,3.308785
2016-12-01,60.187,-100.3948,0.38,-2.4,2.043016
2017-01-01,-77.79126,-68.46452,0.96,-19.4,-15.91476
2017-02-01,-61.76327,-61.83257,0.94,8.5,-0.347741
2017-03-01,23.53855,62.71934,0.45,9.5,3.765237
2017-04-01,87.2286,-64.46446,0.45,3.5,-2.788478
2017-05-01,-26.83262,45.79124,0.21,-9.1,6.026068
2017-06-01,132.2546,33.48543,0.11,-2.0,0.294304
2017-07-01,-130.8147,79.48554,-0.05,7.3,-2.146784
